year,climate,fortype,acres,district
2013,Ensemble-rcp45,943,113.295292,"Eugene District"
2013,Ensemble-rcp45,943,721.682889,"Medford District"
2013,Ensemble-rcp45,943,106.706099,"Roseburg District"
2013,Ensemble-rcp45,943,32.170471,"Salem District"
2013,Ensemble-rcp45,951,5385.90044900001,"Medford District"
2013,Ensemble-rcp45,951,596.10665,"Roseburg District"
2013,Ensemble-rcp45,997,280.742525,"Coos Bay District"
2013,Ensemble-rcp45,997,232.486496,"Medford District"
2013,Ensemble-rcp45,997,93.793499,"Roseburg District"
2013,Ensemble-rcp45,998,186.859419,"Coos Bay District"
2013,Ensemble-rcp45,998,193.736152,"Eugene District"
2013,Ensemble-rcp45,998,28.306812,"Medford District"
2013,Ensemble-rcp45,998,43.869314,"Roseburg District"
2013,Ensemble-rcp45,998,20.611307,"Salem District"
2013,Ensemble-rcp45,999,435.594686,"Coos Bay District"
2013,Ensemble-rcp45,999,485.991525,"Eugene District"
2013,Ensemble-rcp45,999,2633.674338,"Lakeview District"
2013,Ensemble-rcp45,999,1042.309611,"Medford District"
2013,Ensemble-rcp45,999,628.776278,"Roseburg District"
2013,Ensemble-rcp45,999,448.009121,"Salem District"
2013,Ensemble-rcp85,183,2353.484708,"Lakeview District"
2013,Ensemble-rcp85,201,13009.814127,"Coos Bay District"
2013,Ensemble-rcp85,201,12999.624931,"Eugene District"
2013,Ensemble-rcp85,201,356.791939,"Lakeview District"
2013,Ensemble-rcp85,201,20054.171892,"Medford District"
2013,Ensemble-rcp85,201,17838.167034,"Roseburg District"
2013,Ensemble-rcp85,201,14147.9528,"Salem District"
2013,Ensemble-rcp85,202,19.127166,"Medford District"
2013,Ensemble-rcp85,221,23.616796,"Coos Bay District"
2013,Ensemble-rcp85,221,1048.061409,"Lakeview District"
2013,Ensemble-rcp85,221,2069.251613,"Medford District"
2013,Ensemble-rcp85,221,183.11164,"Roseburg District"
2013,Ensemble-rcp85,222,15.605439,"Lakeview District"
2013,Ensemble-rcp85,222,484.542253,"Medford District"
2013,Ensemble-rcp85,222,34.753682,"Roseburg District"
2013,Ensemble-rcp85,224,47.761512,"Lakeview District"
2013,Ensemble-rcp85,224,489.686794,"Medford District"
2013,Ensemble-rcp85,224,16.220385,"Roseburg District"
2013,Ensemble-rcp85,241,42.922636,"Medford District"
2013,Ensemble-rcp85,261,34.842256,"Coos Bay District"
2013,Ensemble-rcp85,261,344.524881,"Medford District"
2013,Ensemble-rcp85,261,17.442951,"Roseburg District"
2013,Ensemble-rcp85,262,64.057597,"Lakeview District"
2013,Ensemble-rcp85,262,149.318733,"Medford District"
2013,Ensemble-rcp85,262,258.673056,"Salem District"
2013,Ensemble-rcp85,264,9.672867,"Eugene District"
2013,Ensemble-rcp85,264,271.60963,"Salem District"
2013,Ensemble-rcp85,267,653.398493,"Lakeview District"
2013,Ensemble-rcp85,267,1465.514979,"Medford District"
2013,Ensemble-rcp85,268,98.475754,"Lakeview District"
2013,Ensemble-rcp85,281,9.075328,"Coos Bay District"
2013,Ensemble-rcp85,281,30.123627,"Medford District"
2013,Ensemble-rcp85,301,140.181612,"Coos Bay District"
2013,Ensemble-rcp85,301,149.689514,"Eugene District"
2013,Ensemble-rcp85,301,58.348188,"Medford District"
2013,Ensemble-rcp85,301,227.028805,"Roseburg District"
2013,Ensemble-rcp85,301,1566.432407,"Salem District"
2013,Ensemble-rcp85,304,158.560092,"Coos Bay District"
2013,Ensemble-rcp85,304,103.989047,"Eugene District"
2013,Ensemble-rcp85,304,15.152332,"Roseburg District"
2013,Ensemble-rcp85,304,138.358639,"Salem District"
2013,Ensemble-rcp85,305,42.624791,"Salem District"
2013,Ensemble-rcp85,361,39.998745,"Medford District"
2013,Ensemble-rcp85,702,9.058504,"Salem District"
2013,Ensemble-rcp85,704,19.475418,"Salem District"
2013,Ensemble-rcp85,709,23.912717,"Eugene District"
2013,Ensemble-rcp85,901,5.852124,"Eugene District"
2013,Ensemble-rcp85,901,8.732403,"Salem District"
2013,Ensemble-rcp85,911,1517.919781,"Coos Bay District"
2013,Ensemble-rcp85,911,618.489614,"Eugene District"
2013,Ensemble-rcp85,911,87.107666,"Medford District"
2013,Ensemble-rcp85,911,182.350945,"Roseburg District"
2013,Ensemble-rcp85,911,2160.35596,"Salem District"
2013,Ensemble-rcp85,912,194.830978,"Coos Bay District"
2013,Ensemble-rcp85,912,374.67777,"Eugene District"
2013,Ensemble-rcp85,912,183.479331,"Roseburg District"
2013,Ensemble-rcp85,912,482.314557,"Salem District"
2013,Ensemble-rcp85,922,79.447845,"Coos Bay District"
2013,Ensemble-rcp85,922,1063.052693,"Medford District"
2013,Ensemble-rcp85,923,73.278149,"Eugene District"
2013,Ensemble-rcp85,923,245.448103,"Lakeview District"
2013,Ensemble-rcp85,923,4810.328982,"Medford District"
2013,Ensemble-rcp85,923,265.425364,"Roseburg District"
2013,Ensemble-rcp85,932,2114.704894,"Medford District"
2013,Ensemble-rcp85,932,36.477318,"Roseburg District"
2013,Ensemble-rcp85,941,756.375158,"Coos Bay District"
2013,Ensemble-rcp85,941,1807.430784,"Medford District"
2013,Ensemble-rcp85,941,186.317568,"Roseburg District"
2013,Ensemble-rcp85,943,20.025941,"Coos Bay District"
2013,Ensemble-rcp85,943,113.295292,"Eugene District"
2013,Ensemble-rcp85,943,721.682889,"Medford District"
2013,Ensemble-rcp85,943,106.706099,"Roseburg District"
2013,Ensemble-rcp85,943,32.170471,"Salem District"
2013,Ensemble-rcp85,951,5385.90044900001,"Medford District"
2013,Ensemble-rcp85,951,596.10665,"Roseburg District"
2013,Ensemble-rcp85,997,280.742525,"Coos Bay District"
2013,Ensemble-rcp85,997,232.486496,"Medford District"
2013,Ensemble-rcp85,997,93.793499,"Roseburg District"
2013,Ensemble-rcp85,998,186.859419,"Coos Bay District"
2013,Ensemble-rcp85,998,193.736152,"Eugene District"
2013,Ensemble-rcp85,998,28.306812,"Medford District"
2013,Ensemble-rcp85,998,43.869314,"Roseburg District"
2013,Ensemble-rcp85,998,20.611307,"Salem District"
2013,Ensemble-rcp85,999,435.594686,"Coos Bay District"
2013,Ensemble-rcp85,999,485.991525,"Eugene District"
2013,Ensemble-rcp85,999,2633.674338,"Lakeview District"
2013,Ensemble-rcp85,999,1042.309611,"Medford District"
2013,Ensemble-rcp85,999,628.776278,"Roseburg District"
2013,Ensemble-rcp85,999,448.009121,"Salem District"
2018,Ensemble-rcp45,183,3762.938673,"Lakeview District"
2018,Ensemble-rcp45,201,13391.31537,"Coos Bay District"
2018,Ensemble-rcp45,201,13316.949993,"Eugene District"
2018,Ensemble-rcp45,201,676.963189,"Lakeview District"
2018,Ensemble-rcp45,201,21498.301483,"Medford District"
2018,Ensemble-rcp45,201,18340.776945,"Roseburg District"
2018,Ensemble-rcp45,201,14645.53029,"Salem District"
2018,Ensemble-rcp45,202,45.057329,"Medford District"
2018,Ensemble-rcp45,221,23.616796,"Coos Bay District"
2018,Ensemble-rcp45,221,1874.380832,"Lakeview District"
2018,Ensemble-rcp45,221,2391.74372,"Medford District"
2018,Ensemble-rcp45,221,183.11164,"Roseburg District"
2018,Ensemble-rcp45,222,32.763163,"Lakeview District"
2018,Ensemble-rcp45,222,476.793521,"Medford District"
2018,Ensemble-rcp45,222,34.753682,"Roseburg District"
2018,Ensemble-rcp45,224,84.824807,"Lakeview District"
2018,Ensemble-rcp45,224,517.76393,"Medford District"
2018,Ensemble-rcp45,224,16.220385,"Roseburg District"
2018,Ensemble-rcp45,241,73.046263,"Medford District"
2018,Ensemble-rcp45,261,34.842256,"Coos Bay District"
2018,Ensemble-rcp45,261,382.560326,"Medford District"
2018,Ensemble-rcp45,261,17.442951,"Roseburg District"
2018,Ensemble-rcp45,262,167.077378,"Lakeview District"
2018,Ensemble-rcp45,262,145.988817,"Medford District"
2018,Ensemble-rcp45,262,22.472711,"Salem District"
2018,Ensemble-rcp45,264,9.672867,"Eugene District"
2018,Ensemble-rcp45,264,354.150155,"Salem District"
2018,Ensemble-rcp45,267,870.905184,"Medford District"
2018,Ensemble-rcp45,268,72.005217,"Lakeview District"
2018,Ensemble-rcp45,281,9.075328,"Coos Bay District"
2018,Ensemble-rcp45,281,39.998745,"Lakeview District"
2018,Ensemble-rcp45,301,140.181612,"Coos Bay District"
2018,Ensemble-rcp45,301,181.500022,"Eugene District"
2018,Ensemble-rcp45,301,21.010569,"Medford District"
2018,Ensemble-rcp45,301,196.125444,"Roseburg District"
2018,Ensemble-rcp45,301,1616.691184,"Salem District"
2018,Ensemble-rcp45,304,158.560092,"Coos Bay District"
2018,Ensemble-rcp45,304,65.618901,"Eugene District"
2018,Ensemble-rcp45,304,15.152332,"Roseburg District"
2018,Ensemble-rcp45,304,138.358639,"Salem District"
2018,Ensemble-rcp45,305,18.563915,"Salem District"
2018,Ensemble-rcp45,361,39.998745,"Medford District"
2018,Ensemble-rcp45,704,19.475418,"Salem District"
2018,Ensemble-rcp45,709,23.912717,"Eugene District"
2018,Ensemble-rcp45,709,74.266009,"Roseburg District"
2018,Ensemble-rcp45,722,33.841407,"Roseburg District"
2018,Ensemble-rcp45,911,1648.633969,"Coos Bay District"
2018,Ensemble-rcp45,911,726.349981,"Eugene District"
2018,Ensemble-rcp45,911,22.181692,"Medford District"
2018,Ensemble-rcp45,911,190.682444,"Roseburg District"
2018,Ensemble-rcp45,911,2171.432759,"Salem District"
2018,Ensemble-rcp45,912,212.906239,"Coos Bay District"
2018,Ensemble-rcp45,912,332.798526,"Eugene District"
2018,Ensemble-rcp45,912,127.729653,"Roseburg District"
2018,Ensemble-rcp45,912,399.003086,"Salem District"
2018,Ensemble-rcp45,922,1013.404053,"Medford District"
2018,Ensemble-rcp45,923,89.648486,"Eugene District"
2018,Ensemble-rcp45,923,245.448103,"Lakeview District"
2018,Ensemble-rcp45,923,4918.424513,"Medford District"
2018,Ensemble-rcp45,923,291.623384,"Roseburg District"
2018,Ensemble-rcp45,932,2094.717525,"Medford District"
2018,Ensemble-rcp45,932,36.477318,"Roseburg District"
2018,Ensemble-rcp45,941,761.937519,"Coos Bay District"
2018,Ensemble-rcp45,941,1835.526543,"Medford District"
2018,Ensemble-rcp45,941,146.152925,"Roseburg District"
2018,Ensemble-rcp45,943,20.025941,"Coos Bay District"
2018,Ensemble-rcp45,943,73.296547,"Eugene District"
2018,Ensemble-rcp45,943,585.624022,"Medford District"
2018,Ensemble-rcp45,943,85.750668,"Roseburg District"
2018,Ensemble-rcp45,943,32.170471,"Salem District"
2018,Ensemble-rcp45,951,54.364373,"Coos Bay District"
2018,Ensemble-rcp45,951,4779.630964,"Medford District"
2018,Ensemble-rcp45,951,484.490481,"Roseburg District"
2018,Ensemble-rcp45,997,215.099043,"Coos Bay District"
2018,Ensemble-rcp45,997,220.004981,"Medford District"
2018,Ensemble-rcp45,997,32.526832,"Roseburg District"
2018,Ensemble-rcp45,998,126.414549,"Coos Bay District"
2018,Ensemble-rcp45,998,167.448295,"Eugene District"
2018,Ensemble-rcp45,998,28.306812,"Medford District"
2018,Ensemble-rcp45,998,35.537815,"Roseburg District"
2018,Ensemble-rcp45,998,8.274767,"Salem District"
2018,Ensemble-rcp45,999,50.913457,"Coos Bay District"
2018,Ensemble-rcp45,999,165.013367,"Eugene District"
2018,Ensemble-rcp45,999,560.359185,"Lakeview District"
2018,Ensemble-rcp45,999,579.851791,"Medford District"
2018,Ensemble-rcp45,999,312.51688,"Roseburg District"
2018,Ensemble-rcp45,999,180.255669,"Salem District"
2018,Ensemble-rcp85,183,3732.192063,"Lakeview District"
2018,Ensemble-rcp85,201,13346.75671,"Coos Bay District"
2018,Ensemble-rcp85,201,13309.649083,"Eugene District"
2018,Ensemble-rcp85,201,669.347414,"Lakeview District"
2018,Ensemble-rcp85,201,21506.12054,"Medford District"
2018,Ensemble-rcp85,201,18331.249139,"Roseburg District"
2018,Ensemble-rcp85,201,14598.424757,"Salem District"
2018,Ensemble-rcp85,202,45.057329,"Medford District"
2018,Ensemble-rcp85,221,23.616796,"Coos Bay District"
2018,Ensemble-rcp85,221,1779.289615,"Lakeview District"
2018,Ensemble-rcp85,221,2402.378487,"Medford District"
2018,Ensemble-rcp85,221,183.11164,"Roseburg District"
2018,Ensemble-rcp85,222,32.763163,"Lakeview District"
2018,Ensemble-rcp85,222,487.843437,"Medford District"
2018,Ensemble-rcp85,222,34.753682,"Roseburg District"
2018,Ensemble-rcp85,224,47.761512,"Lakeview District"
2018,Ensemble-rcp85,224,553.025555,"Medford District"
2018,Ensemble-rcp85,224,16.220385,"Roseburg District"
2018,Ensemble-rcp85,241,73.046263,"Medford District"
2018,Ensemble-rcp85,261,34.842256,"Coos Bay District"
2018,Ensemble-rcp85,261,382.560326,"Medford District"
2018,Ensemble-rcp85,261,17.442951,"Roseburg District"
2018,Ensemble-rcp85,262,167.077378,"Lakeview District"
2018,Ensemble-rcp85,262,105.990072,"Medford District"
2018,Ensemble-rcp85,264,9.672867,"Eugene District"
2018,Ensemble-rcp85,264,323.728901,"Salem District"
2018,Ensemble-rcp85,267,113.373001,"Lakeview District"
2018,Ensemble-rcp85,267,979.041363,"Medford District"
2018,Ensemble-rcp85,268,72.005217,"Lakeview District"
2018,Ensemble-rcp85,281,9.075328,"Coos Bay District"
2018,Ensemble-rcp85,281,39.998745,"Lakeview District"
2018,Ensemble-rcp85,301,184.740272,"Coos Bay District"
2018,Ensemble-rcp85,301,181.500022,"Eugene District"
2018,Ensemble-rcp85,301,21.010569,"Medford District"
2018,Ensemble-rcp85,301,188.549011,"Roseburg District"
2018,Ensemble-rcp85,301,1673.967442,"Salem District"
2018,Ensemble-rcp85,304,158.560092,"Coos Bay District"
2018,Ensemble-rcp85,304,65.618901,"Eugene District"
2018,Ensemble-rcp85,304,15.152332,"Roseburg District"
2018,Ensemble-rcp85,304,138.358639,"Salem District"
2018,Ensemble-rcp85,305,18.563915,"Salem District"
2018,Ensemble-rcp85,361,39.998745,"Medford District"
2018,Ensemble-rcp85,704,19.475418,"Salem District"
2018,Ensemble-rcp85,709,23.912717,"Eugene District"
2018,Ensemble-rcp85,709,74.266009,"Roseburg District"
2018,Ensemble-rcp85,722,33.841407,"Roseburg District"
2018,Ensemble-rcp85,911,1627.406772,"Coos Bay District"
2018,Ensemble-rcp85,911,726.349981,"Eugene District"
2018,Ensemble-rcp85,911,22.181692,"Medford District"
2018,Ensemble-rcp85,911,190.682444,"Roseburg District"
2018,Ensemble-rcp85,911,2171.432759,"Salem District"
2018,Ensemble-rcp85,912,212.906239,"Coos Bay District"
2018,Ensemble-rcp85,912,370.028813,"Eugene District"
2018,Ensemble-rcp85,912,127.729653,"Roseburg District"
2018,Ensemble-rcp85,912,399.003086,"Salem District"
2018,Ensemble-rcp85,922,981.979449,"Medford District"
2018,Ensemble-rcp85,923,89.648486,"Eugene District"
2018,Ensemble-rcp85,923,245.448103,"Lakeview District"
2018,Ensemble-rcp85,923,4913.831995,"Medford District"
2018,Ensemble-rcp85,923,291.623384,"Roseburg District"
2018,Ensemble-rcp85,932,2033.675749,"Medford District"
2018,Ensemble-rcp85,932,36.477318,"Roseburg District"
2018,Ensemble-rcp85,941,761.937519,"Coos Bay District"
2018,Ensemble-rcp85,941,1795.541816,"Medford District"
2018,Ensemble-rcp85,941,153.245912,"Roseburg District"
2018,Ensemble-rcp85,943,20.025941,"Coos Bay District"
2018,Ensemble-rcp85,943,73.296547,"Eugene District"
2018,Ensemble-rcp85,943,553.256836,"Medford District"
2018,Ensemble-rcp85,943,78.657681,"Roseburg District"
2018,Ensemble-rcp85,943,32.170471,"Salem District"
2018,Ensemble-rcp85,951,54.364373,"Coos Bay District"
2018,Ensemble-rcp85,951,4777.123943,"Medford District"
2018,Ensemble-rcp85,951,484.490481,"Roseburg District"
2018,Ensemble-rcp85,997,215.099043,"Coos Bay District"
2018,Ensemble-rcp85,997,220.004981,"Medford District"
2018,Ensemble-rcp85,997,32.526832,"Roseburg District"
2018,Ensemble-rcp85,998,147.641746,"Coos Bay District"
2018,Ensemble-rcp85,998,167.448295,"Eugene District"
2018,Ensemble-rcp85,998,28.306812,"Medford District"
2018,Ensemble-rcp85,998,35.537815,"Roseburg District"
2018,Ensemble-rcp85,998,8.274767,"Salem District"
2018,Ensemble-rcp85,999,50.913457,"Coos Bay District"
2018,Ensemble-rcp85,999,135.08399,"Eugene District"
2018,Ensemble-rcp85,999,617.503081,"Lakeview District"
2018,Ensemble-rcp85,999,618.866824,"Medford District"
2018,Ensemble-rcp85,999,329.621119,"Roseburg District"
2018,Ensemble-rcp85,999,222.978909,"Salem District"
2023,Ensemble-rcp45,183,3327.882834,"Lakeview District"
2023,Ensemble-rcp45,201,13551.787534,"Coos Bay District"
2023,Ensemble-rcp45,201,13456.377755,"Eugene District"
2023,Ensemble-rcp45,201,695.042843,"Lakeview District"
2023,Ensemble-rcp45,201,22756.680629,"Medford District"
2023,Ensemble-rcp45,201,18612.672412,"Roseburg District"
2023,Ensemble-rcp45,201,14747.64887,"Salem District"
2023,Ensemble-rcp45,202,45.057329,"Medford District"
2023,Ensemble-rcp45,221,23.616796,"Coos Bay District"
2023,Ensemble-rcp45,221,2914.656424,"Lakeview District"
2023,Ensemble-rcp45,221,2474.522666,"Medford District"
2023,Ensemble-rcp45,221,131.067398,"Roseburg District"
2023,Ensemble-rcp45,222,32.763163,"Lakeview District"
2023,Ensemble-rcp45,222,506.191792,"Medford District"
2023,Ensemble-rcp45,222,53.552837,"Roseburg District"
2023,Ensemble-rcp45,224,47.761512,"Lakeview District"
2023,Ensemble-rcp45,224,573.071878,"Medford District"
2023,Ensemble-rcp45,224,16.220385,"Roseburg District"
2023,Ensemble-rcp45,241,73.046263,"Medford District"
2023,Ensemble-rcp45,261,362.998208,"Medford District"
2023,Ensemble-rcp45,261,17.442951,"Roseburg District"
2023,Ensemble-rcp45,262,123.380389,"Lakeview District"
2023,Ensemble-rcp45,262,50.076375,"Medford District"
2023,Ensemble-rcp45,264,391.406996,"Salem District"
2023,Ensemble-rcp45,267,563.238251,"Medford District"
2023,Ensemble-rcp45,268,36.90415,"Lakeview District"
2023,Ensemble-rcp45,281,9.075328,"Coos Bay District"
2023,Ensemble-rcp45,281,39.998745,"Lakeview District"
2023,Ensemble-rcp45,301,123.053392,"Coos Bay District"
2023,Ensemble-rcp45,301,180.285506,"Eugene District"
2023,Ensemble-rcp45,301,94.969378,"Roseburg District"
2023,Ensemble-rcp45,301,1666.587143,"Salem District"
2023,Ensemble-rcp45,304,48.872655,"Coos Bay District"
2023,Ensemble-rcp45,304,65.618901,"Eugene District"
2023,Ensemble-rcp45,304,15.152332,"Roseburg District"
2023,Ensemble-rcp45,304,104.644657,"Salem District"
2023,Ensemble-rcp45,305,45.444866,"Salem District"
2023,Ensemble-rcp45,361,39.998745,"Medford District"
2023,Ensemble-rcp45,704,19.475418,"Salem District"
2023,Ensemble-rcp45,709,23.912717,"Eugene District"
2023,Ensemble-rcp45,709,33.788721,"Roseburg District"
2023,Ensemble-rcp45,722,22.088479,"Medford District"
2023,Ensemble-rcp45,722,148.508305,"Roseburg District"
2023,Ensemble-rcp45,911,1603.706013,"Coos Bay District"
2023,Ensemble-rcp45,911,726.349981,"Eugene District"
2023,Ensemble-rcp45,911,22.181692,"Medford District"
2023,Ensemble-rcp45,911,173.846901,"Roseburg District"
2023,Ensemble-rcp45,911,2113.065704,"Salem District"
2023,Ensemble-rcp45,912,247.033019,"Coos Bay District"
2023,Ensemble-rcp45,912,376.675957,"Eugene District"
2023,Ensemble-rcp45,912,15.615263,"Medford District"
2023,Ensemble-rcp45,912,270.63645,"Roseburg District"
2023,Ensemble-rcp45,912,452.696462,"Salem District"
2023,Ensemble-rcp45,922,24.904992,"Coos Bay District"
2023,Ensemble-rcp45,922,1174.304869,"Medford District"
2023,Ensemble-rcp45,923,89.648486,"Eugene District"
2023,Ensemble-rcp45,923,285.446848,"Lakeview District"
2023,Ensemble-rcp45,923,4666.931129,"Medford District"
2023,Ensemble-rcp45,923,248.899572,"Roseburg District"
2023,Ensemble-rcp45,932,2111.435419,"Medford District"
2023,Ensemble-rcp45,932,48.630246,"Roseburg District"
2023,Ensemble-rcp45,941,724.145007,"Coos Bay District"
2023,Ensemble-rcp45,941,1844.303879,"Medford District"
2023,Ensemble-rcp45,941,146.152925,"Roseburg District"
2023,Ensemble-rcp45,943,20.025941,"Coos Bay District"
2023,Ensemble-rcp45,943,65.892104,"Eugene District"
2023,Ensemble-rcp45,943,485.702096,"Medford District"
2023,Ensemble-rcp45,943,78.657681,"Roseburg District"
2023,Ensemble-rcp45,943,32.170471,"Salem District"
2023,Ensemble-rcp45,951,54.364373,"Coos Bay District"
2023,Ensemble-rcp45,951,4038.447715,"Medford District"
2023,Ensemble-rcp45,951,523.152513,"Roseburg District"
2023,Ensemble-rcp45,997,254.077304,"Coos Bay District"
2023,Ensemble-rcp45,997,220.004981,"Medford District"
2023,Ensemble-rcp45,997,32.526832,"Roseburg District"
2023,Ensemble-rcp45,998,163.22419,"Coos Bay District"
2023,Ensemble-rcp45,998,167.448295,"Eugene District"
2023,Ensemble-rcp45,998,28.306812,"Medford District"
2023,Ensemble-rcp45,998,9.301356,"Roseburg District"
2023,Ensemble-rcp45,998,8.274767,"Salem District"
2023,Ensemble-rcp45,999,12.922384,"Lakeview District"
2023,Ensemble-rcp45,999,466.638313,"Medford District"
2023,Ensemble-rcp45,999,24.96371,"Salem District"
2023,Ensemble-rcp85,183,3328.1116,"Lakeview District"
2023,Ensemble-rcp85,201,13573.837315,"Coos Bay District"
2023,Ensemble-rcp85,201,13379.643935,"Eugene District"
2023,Ensemble-rcp85,201,693.591164,"Lakeview District"
2023,Ensemble-rcp85,201,22474.61744,"Medford District"
2023,Ensemble-rcp85,201,18524.002857,"Roseburg District"
2023,Ensemble-rcp85,201,14801.1501,"Salem District"
2023,Ensemble-rcp85,202,45.057329,"Medford District"
2023,Ensemble-rcp85,221,23.616796,"Coos Bay District"
2023,Ensemble-rcp85,221,2804.514742,"Lakeview District"
2023,Ensemble-rcp85,221,2419.424088,"Medford District"
2023,Ensemble-rcp85,221,149.866553,"Roseburg District"
2023,Ensemble-rcp85,222,32.763163,"Lakeview District"
2023,Ensemble-rcp85,222,517.241708,"Medford District"
2023,Ensemble-rcp85,222,34.753682,"Roseburg District"
2023,Ensemble-rcp85,224,47.761512,"Lakeview District"
2023,Ensemble-rcp85,224,578.342448,"Medford District"
2023,Ensemble-rcp85,224,16.220385,"Roseburg District"
2023,Ensemble-rcp85,241,73.046263,"Medford District"
2023,Ensemble-rcp85,261,34.842256,"Coos Bay District"
2023,Ensemble-rcp85,261,323.868239,"Medford District"
2023,Ensemble-rcp85,261,17.442951,"Roseburg District"
2023,Ensemble-rcp85,262,127.078633,"Lakeview District"
2023,Ensemble-rcp85,262,86.044742,"Medford District"
2023,Ensemble-rcp85,264,9.672867,"Eugene District"
2023,Ensemble-rcp85,264,433.838308,"Salem District"
2023,Ensemble-rcp85,267,107.666351,"Lakeview District"
2023,Ensemble-rcp85,267,919.209276,"Medford District"
2023,Ensemble-rcp85,268,36.90415,"Lakeview District"
2023,Ensemble-rcp85,281,9.075328,"Coos Bay District"
2023,Ensemble-rcp85,281,39.998745,"Lakeview District"
2023,Ensemble-rcp85,301,98.901832,"Coos Bay District"
2023,Ensemble-rcp85,301,180.285506,"Eugene District"
2023,Ensemble-rcp85,301,122.58833,"Roseburg District"
2023,Ensemble-rcp85,301,1546.02785,"Salem District"
2023,Ensemble-rcp85,304,37.430143,"Coos Bay District"
2023,Ensemble-rcp85,304,65.618901,"Eugene District"
2023,Ensemble-rcp85,304,15.152332,"Roseburg District"
2023,Ensemble-rcp85,304,104.644657,"Salem District"
